Restaurant Name,Phone,Area,Category,Date Called,Spoke To,Outcome,Tier Interested,Follow-Up Date,Signed Up?,Notes
Kebabs on Queen,09-524 6870,Auckland,Kebab - Burger,,,,,,,
Pastarita,09-558 1011,Auckland,Pasta,,,,,,,
PressHouse Cafe,021 297 815,Auckland,Cafe - Other,,,,,,,
Zeta Greek Kitchen,09-600 2598,Auckland,Kebab - Mediterranean,,,,,,,
Kebab King,09-303 3665,Auckland,Kebab,,,,,,,
Turkish Kebab & Burger,09-845 5151,Auckland,Kebab - Burger,,,,,,,
The Greek House,09 846 9955,Auckland,Kebab - Burger - Mediterranean,,,,,,,
Kampung Malaysia,09 360 9869,Auckland,Asia,,,,,,,
Zap Lai,09-361 6256,Auckland.,Malay,,,,,,,
Jadetown Uyghur Cuisine,09-623 5072,Auckland,Malay,,,,,,,
Dundale's Fusion Fijian Cafe & Eatery,09-627 9000,Auckland,Cafe - Burger - Indian,,,,,,,
Firangi Fusion,09-626 2003,Auckland,Indian,,,,,,,
Kebab Club,022 396 4061,Auckland,Kebab - Burger - Fish,,,,,,,
Epsom Turkish Kebabs,09-630 0019,Auckland,Kebab - Burger,,,,,,,
Hambagu,0210 271 6403,Auckland,Burger - Chicken,,,,,,,
Chickhen Republic,09 390 7978,Auckland,Chicken - Burger - Kebab,,,,,,,
Rocket Kebabs,09-846 2300,Auckland,Kebab - Burger,,,,,,,
Eden Kebab,09-623 1616,Auckland,Kebab - Burger,,,,,,,
Kebab N Chicken,09 623 1184,Auckland,Kebab - Burger - Chicken,,,,,,,
Kebab Stop,09-623 1315,Auckland,Kebab - Burger,,,,,,,
Mt Eden Village Kebab,09-623 0339,Auckland,Kebab - Burger,,,,,,,
Raos Indonesian Street Food,09-623 0459,Auckland,Asia,,,,,,,
Tareks Coffee Buzz,022 167 1282,Auckland,Cafe - Other,,,,,,,
Taste of India,021 870 546,Auckland,Indian,,,,,,,
Yala Lounge,0210 274 3191,Auckland,Cafe - Other,,,,,,,
Banaadir African Restaurant,020 4069 9202,Auckland,Other,,,,,,,
Des Traditions,09-629 3121,Auckland,Mediterranean - Indian,,,,,,,
Falaq Biryani House,09-212 2255,Auckland,Indian,,,,,,,
Halal Fried Chicken,09-620 5785,Auckland,Chicken - Burger - Kebab,,,,,,,
Kabul House,09-620 5888,Auckland,Mediterranean,,,,,,,
Kebabs Sensation,09 217 8979,Auckland,Burger - Kebab,,,,,,,
Mi IndoChi,021 764 322,Auckland,Asia,,,,,,,
Monster Kebab,09 214 8914,Auckland,Chicken - Burger - Kebab,,,,,,,
Nana's Fish House,09-620 8399,Auckland,Kebab - Burger - Fish,,,,,,,
NZ Kebab and Sensational Chicken,09 620 6475,Auckland,Chicken - Burger - Kebab,,,,,,,
Alif By Sensational Chicken,021 233 9578,Auckland 1060,Chicken - Burger - Kebab,,,,,,,
Peshawari Hutt,09 629 0721,Auckland,Asia,,,,,,,
Tapsi,09-600 1807,Auckland,Mediterranean,,,,,,,
Tasty Kebab Ltd,09-620 8407,Auckland,Chicken - Burger - Kebab,,,,,,,
Thai Kitchen Takeway,09-390 0565,Auckland,Asia,,,,,,,
Chicking,09 218 8169,Auckland,Chicken - Burger,,,,,,,
Chicking,09 213 0577,Takanini 2112,Chicken - Burger,,,,,,,
Kebabs on Queen,09-636 6616,Auckland,Burger - Kebab,,,,,,,
Royal Kebab,09-625 8755,Auckland,Burger - Kebab,,,,,,,
Bawarchi,09-845 5525,Auckland,Indian,2026-02-27,,Signed Up,Premium,,Yes,VIP Partner - Gallery and Menu added.
Chicking,09-212 6923,Auckland,Chicken - Burger,,,,,,,
Eat Love Repeat - Smashed Burger,022 492 0598,Auckland,Burger,,,,,,,
Top in Town Biryani House,09-948 5856,Auckland,Indian,,,,,,,
Kebab King,09-845 8451,Auckland,Burger - Kebab,,,,,,,
Chickhen Republic,022 646 9600,Auckland,Chicken - Burger - Kebab,,,,,,,
Wicked Chicken,09-573 5740,Auckland,Chicken - Burger - Kebab,,,,,,,
Wicked Chicken,06 345 0009,Whanganui 4500,Chicken - Burger - Kebab,,,,,,,
Khanz Takeaway,09-527 0647,Auckland,Indian - Mediterranean,,,,,,,
Lablabu Friends,09-527 0647,Auckland,Bakery - Sweet,,,,,,,
Waffle Cafe,0210 827 6378,Auckland 1041,Bakery - Sweet,,,,,,,
Professional Indian Cuisine,09 948 2050,Auckland,Indian,,,,,,,
Queens Kebab,09-570 5536,Auckland,Kebab - Burger,,,,,,,
Pita House Pakuranga Fresh Halal Meat,09-577 5718,Auckland,Meat,,,,,,,
Amanah Butchery,09 553 5353,Auckland 0614,Meat,,,,,,,
Ayesha Halal Meats,09 558 4625,Auckland 2016,Meat,,,,,,,
Kebab Serai,09-522 5656,Auckland,Kebab - Burger,,,,,,,
Ahad's Kitchen,09 600 2152,Auckland,Kebab - Burger,,,,,,,
Mediterranean Hub,09 600 2341,Auckland,Mediterranean,,,,,,,
Uncle Man's,09-521 0919,Auckland,Asia,,,,,,,
Charcoal Chicken,09-265 1644,Botany. Auckland,Chicken - Burger,,,,,,,
Chicking Botany,09 212 8662,Auckland,Chicken - Burger,,,,,,,
Oceanz Seafood Mission Bay,09 521 5891,New Zealand,Fish,,,,,,,
Wicked Chicken,09-212 3886,Auckland,Chicken - Burger,,,,,,,
Chicking,09 600 2419,Auckland,Chicken - Burger,,,,,,,
Sam's Kebab,09 214 7543,Auckland,Kebab - Burger,,,,,,,
Wicked Chicken,09 212 3671,Auckland,Chicken - Burger,,,,,,,
Zana,09-265 1777,Auckland,Asia,,,,,,,
Chicking New Zealand,0800 545 469,Auckland,Chicken - Burger,,,,,,,
Country Fried Chicken,09-275 5673,Auckland,Chicken - Burger,,,,,,,
Fijiana by Chachi's,027 237 8266,Auckland,Indian,,,,,,,
GetFresh Halal Takeaway,09-275 7195,Auckland,Indian,,,,,,,
Tandoori Mahal,09 261 2536,Auckland,Indian,,,,,,,
Taste of Malaysia,09-262 2063,Auckland,Asia,,,,,,,
Wicked Chicken,09-218 6620,Auckland,Chicken - Burger,,,,,,,
Wicked Chicken,07 929 1008,Hamilton 3200,Chicken - Burger,,,,,,,
Aliiz Kitchen,022 166 7161,Auckland,Burger - Indian - Fish,,,,,,,
Country Fried Chicken,09 268 2200,Auckland,Chicken - Burger,,,,,,,
Fijiana by Chachi's,09 268 8180,Auckland,Indian,,,,,,,
Crispy Chicken Limited,09-276 4744,Auckland,Indian - Chicken - Fish,,,,,,,
Halal Tasty Foods,09-276 6401,Auckland,Asia - Indian,,,,,,,
New Sensational Kebab & Fried Chicken,-,Auckland 1025,Kebab - Chicken - Burger,,,,,,,
New Sensational Kebab & Fried Chicken,020 4051 4995,Auckland,Kebab - Chicken - Burger,,,,,,,
Paradise Kebab & Fried Chicken,027 786 0028,Auckland 1071,Kebab - Chicken - Burger,,,,,,,
SENSATIONAL CHICKEN,09-276 7786,Auckland,Kebab - Chicken - Burger,,,,,,,
Yaya's Kebab,09-948 2656,Auckland,Kebab - Burger - Mediterranean,,,,,,,
Biryaniwala,09-277 5678,Auckland,Indian,,,,,,,
Biryaniwala,09 277 5678,Auckland 0612,Indian,,,,,,,
Chef's Patisserie & Catering,09-2779964,Auckland,Sweet,,,,,,,
Hunters Corner Curry House,09-2500006,Auckland,Indian,,,,,,,
Karachi Indian Cuisine,09-279 3366,Auckland,Indian,,,,,,,
Karachi Kebabs,09-279 9949,Auckland,Chicken - Kebab,,,,,,,
Khanz Restaurant,09-250 1623,Auckland,Indian - Mediterranean,,,,,,,
Charcoal Chicken,09 264 0164,2112,Chicken - Burger,,,,,,,
Kebabs Delight,09-299 1104,Auckland,Kebab - Burger,,,,,,,
Adanaa Turkish Grill,09-825 0625,Auckland,Pizza - Kebab - Burger,,,,,,,
Tandoori Hut,09 217 8958,Auckland 1041,Indian,,,,,,,
Chicking,0800 546 469,Auckland,Chicken - Burger,,,,,,,
Fusion Feast Henderson,09 218 8955,Auckland,Indian,,,,,,,
Glen Eden Kebab,09 813 9773,Auckland,Kebab - Burger,,,,,,,
Green Café,09-558 2103,Auckland,Kebab - Mediterranean,,,,,,,
Kebabistan,021-068 8848,Auckland,Kebab - Burger,,,,,,,
Kebabs Istanbul,09-416 1723,Auckland,Kebab - Burger,,,,,,,
Mamaris Kebabs,09-832 8015,Auckland,Kebab - Burger,,,,,,,
Rotana Cafe,021 774 942,Auckland,Mediterranean - Other,,,,,,,
Seasonings,09-837 0110,Auckland,Kebab - Chicken - Burger,,,,,,,
Kebabs on Queen,09-422 2122,Warkworth,Kebab - Burger,,,,,,,
Chicking,06 862-2668,Gisborne,Chicken - Burger,,,,,,,
Aroma India,06-304 8080,Greytown,Indian,,,,,,,
Bombay Kebab,09 236 0721,Bombay,Kebab - Mediterranean,,,,,,,
Breeze Indian Restaurant,07 949 8159,Hamilton,Indian,,,,,,,
Chicking Hamilton,07-949 7723,Hamilton,Chicken - Kebab,,,,,,,
Kebab Salateen,07-839 3375,Hamilton,Kebab - Mediterranean,,,,,,,
Northern Star,07 834 9999,Hamilton,Indian - Pizza,,,,,,,
Afghan Darbar,06 260 1110,Palmerston North,Burger - Kebab - Pizza,,,,,,,
Café Eminem,06-353 1360,Palmerston North,Burger - Kebab - Pizza - Pasta,,,,,,,
Pastarita,09 883 4994,Auckland 1023,Pasta,,,,,,,
Ali Baba's Tunisian Takeaways,07-348 2983,Rotorua,Kebab - Pizza,,,,,,,
Just Kebabs,07-347 7984,Rotorua,Kebab - Burger,,,,,,,
Turkish Kebabs & Eatery,07-348 0141,Rotorua,Kebab - Burger,,,,,,,
Chicking,07 376 5103,Taupo,Chicken - Burger,,,,,,,
Café Laz,04-389 3073,Wellington,Kebab,,,,,,,
Chef Art Halal Street Food,020 4195 6704,Wellington,Asia,,,,,,,
Diwan Restaurant,04 260 0097,Wellington,Mediterranean,,,,,,,
Indian Sweets & Snacks,04 389 3621,Wellington,Indian,,,,,,,
Kareem Indian Takeaway,04-386 4000,Wellington,Indian,,,,,,,
New Paradise Indian Restaurant,0226804530,Lower Hutt 5010,Indian,,,,,,,
Temptation Indian Cuisine,09 963 8405,Auckland 1051,Indian,,,,,,,
Surti,09 273 4164,Auckland 1061,Indian,,,,,,,
Morteza Kebab & Bakery,04 280 0476,Wellington,Kebab - Mediterranean,,,,,,,
Mughlai Mer Curry,04-382-8554,Wellington,Indian,,,,,,,
AFG Restaurant,03-338 7029,Christchurch,Other,,,,,,,
Aminah's Bread and Butter Bakery,021 114 0751,Christchurch,Bakery,,,,,,,
Bali Thai,021 232 4762,Christchurch,Asia,,,,,,,
Best Turkish Food Co,03-366 0196,Christchurch,Kebab - Burger,,,,,,,
Boteco Cafe & Restaurant,03-377 3833,Christchurch,Cafe - Other,,,,,,,
Flaming Pizza,03-352 2577,Christchurch,Pizza,,,,,,,
Indian Paradise,03-381 1738,Christchurch,Indian,,,,,,,
Indian Paradise Deluxe,03 925 9179,Christchurch,Indian,,,,,,,
Indo Tempeh House,022-506 4509,Christchurch,Asia,,,,,,,
Kebab Land Food Court,03 343 0301,Christchurch,Kebab - Burger - Mediterranean,,,,,,,
Mainland Turkish Food,03 386 2374,Christchurch,Kebab,,,,,,,
Persian Delight,03 348 4830,Christchurch,Other,,,,,,,
Shamiana Cuisines of India,03 343 5551,Christchurch,Indian,,,,,,,
Supreme Kebab,03-359 0533,Christchurch,Kebab - Burger,,,,,,,
The Kiwi Kebab,022 470 5035,Christchurch,Mediterranean - Kebab,,,,,,,
Two Fat Indians,03-371 7273,Christchurch,Indian,,,,,,,
Western Java Cuisine,021 124 7416,Christchurch,Asia,,,,,,,
Zak's Kebabs,03 261 6124,Christchurch,Mediterranean - Kebab,,,,,,,
Souvlaki & Kebab Grill,03-445 4826,Cromwell,Mediterranean - Kebab,,,,,,,
Anatolia Turkish Cafe,03-474 1444,Dunedin,Kebab - Burger,,,,,,,
Konya Kebab Restaurant and Takeaway,03-477 7749,Dunedin,Kebab - Burger,,,,,,,
Sila Turkish Restaurant,03-474 9692,Dunedin,Kebab - Burger - Pizza - Mediterranean,,,,,,,
AR Indian Restaurant,03 215 9568,Invercargill,Indian,,,,,,,
Indian at The Crescent,03 214 1555,Invercargill 9810,Indian,,,,,,,
Curry Guru Tweed,03 214 0296,Invercargill,Indian,,,,,,,
Mevlana Kebabs,03-218 6468,Invercargill,Kebab - Burger - Mediterranean,,,,,,,
Turkish Kebabs,03-218 3399,Invercargill,Kebab - Burger,,,,,,,
Cafe Anatolia Turkish Cuisine,06-368 7924,Levin,Kebab - Burger,,,,,,,
Turkish Kebabs,03-208 5617,Gore,Restaurants,,,,,,,
Boliwood Restaurant Five Mile,03 442 2019,Queenstown,Indian,,,,,,,
Boliwood Indian Restaurant,03 442 7779,Queenstown,Indian,,,,,,,
Erik's Fish And Chips,03 441 3474,Queenstown,Fish,,,,,,,
Ljs fish and chips,07 949 8207,951 Maahanga drive northgate Hamilton,Fish,,,,,,,
Lumsden Butchery,022 036 9321,Lumsden,Meat,,,,,,,
Pedro's House of Lamb,03 441 4526,Queenstown,Other,,,,,,,
Turkish Kebabs,03 441 3424,Queenstown,Kebab - Burger,,,,,,,
Akbabas Turkish Kebabs and Cafe,03 577 9928,Marlborough,Kebab - Burger - Mediterranean,,,,,,,
Snack Shack Turkish Kebabs,03 443 7622,Wanaka,Kebab - Burger,,,,,,,
Auckland Indian Sweets & Snacks,09-270 3275,Auckland,Sweet - Vegetarian,,,,,,,
Auckland Indian Sweets & Snacks,09-629 3275,Auckland,Sweet - Vegetarian,,,,,,,
Auckland Indian Sweets & Snacks,09 629 3276,Auckland,Sweet - Vegetarian,,,,,,,
Dosa Plaza,09-629 6290,Auckland,Sweet - Vegetarian,,,,,,,
Dosa Plaza,09-274 9999,Auckland,Sweet - Vegetarian,,,,,,,
Eggs & More,09-845 5500,Auckland,Sweet - Vegetarian,,,,,,,
Gorilla Kitchen,022 060 6763,Auckland,Sweet - Vegetarian,,,,,,,
Lord of the Fries,09 600 1987,Auckland,Vegetarian,,,,,,,
Mithai Indian Vegetarian Restaurant,09-620 0117,Auckland,Sweet - Vegetarian,,,,,,,
Mithaiwala Indian Vegetarian Restaurant,09-267 5202,Auckland,Sweet - Vegetarian,,,,,,,
Mumbai Chaat,09-846 9393,Auckland,Sweet - Vegetarian,,,,,,,
Ras Vatika Indian Vegetarian Café,09-623 2145,Auckland,Sweet - Vegetarian,,,,,,,
Revive Cafe,09-3030420,Auckland,Sweet - Vegetarian - Other,,,,,,,
Roops Vegetarian Takeaways,09-626 4459,Auckland,Sweet - Vegetarian,,,,,,,
Shivani Restaurant,09-250 4474,Auckland,Sweet - Vegetarian,,,,,,,
Tart Bakery,09-3765535,Auckland,Sweet - Vegetarian,,,,,,,
The Raw Kitchen,09 379 5276,Auckland,Sweet - Vegetarian,,,,,,,
Little Bird Kitchen,09-555 3278,Auckland,Sweet - Vegetarian,,,,,,,
Xotic Sweets and Snack,09-6205786,Auckland,Sweet - Vegetarian,,,,,,,
Falafel Metro,027 203 0755,Tauranga,Sweet - Vegetarian,,,,,,,
Blissful Healthy Vegan Takeaway,07-849 9088,Hamilton,Sweet - Vegetarian,,,,,,,
Lord of the Fries,07 856 1255,Hamilton,Vegetarian,,,,,,,
Mithaiwala,07-847 5671,Hamilton,Sweet - Vegetarian,,,,,,,
Shivani Restaurant,07 843 9655,Hamilton,Sweet - Vegetarian,,,,,,,
Vegan Buffet,07-838 0805,Hamilton,Sweet - Vegetarian,,,,,,,
Wholefood Kitchen,06-835 8036,Napier,Sweet - Vegetarian,,,,,,,
STEAM 100% Pure Vegetarian Indian Restaurant,07-348 8144,1129 Hinemoa St. Rotorua,Sweet - Vegetarian,,,,,,,
Aroha,020-468 8168,Wellington,Sweet - Vegetarian,,,,,,,
Aunty Mena Vegetarian Café,04-382 8288,Wellington,Sweet - Vegetarian,,,,,,,
Bhakti Lounge,022-300 7786,Wellington,Sweet - Vegetarian,,,,,,,
Hillside Kitchen & Cellar,04-473 7140,Wellington,Sweet - Vegetarian,,,,,,,
Nature Vegetarian,04-560 4567,Wellington,Sweet - Vegetarian,,,,,,,
Pranah,04-389 8100,Wellington,Sweet - Vegetarian,,,,,,,
Sweet Release Cakes and Treats,021-132 0700,Wellington,Sweet - Vegetarian,,,,,,,
The Botanist,04-891 0198,Wellington,Sweet - Vegetarian,,,,,,,
Bikanervala,03-595 0292,Christchurch,Sweet - Vegetarian,,,,,,,
Bolina Sweets and Indian Restaurant,03-930 1034,Christchurch,Sweet - Vegetarian,,,,,,,
Dream Garden Vegetarian Café,03-358 8485,Christchurch,Sweet - Vegetarian,,,,,,,
The Origin,03-355 5939,Christchurch,Sweet - Vegetarian,,,,,,,
The Shroom Room,03-328 9459,Christchurch,Sweet - Vegetarian,,,,,,,
Villa 23,03-343 3375,Christchurch,Sweet - Vegetarian,,,,,,,
Water Drop Vegetarian Cafe,03-341 6276,Christchurch,Sweet - Vegetarian,,,,,,,
Welcome Chinese Vegetarian Café,03-348 2630,Christchurch,Sweet - Vegetarian,,,,,,,
The Good Earth Café,03-471 8554,Dunedin,Sweet - Vegetarian,,,,,,,
Zen's Kitchen,022-645 3756,Murchison.,Sweet - Vegetarian,,,,,,,
V Burgers,022-165 4836,Nelson.,Sweet - Vegetarian,,,,,,,
Lord of the Fries,03 265 1008,Queenstown,Vegetarian,,,,,,,
